alpha,mae_avg,mse_avg,rmse_avg
0.0001,0.20252176130504512,0.07325017993248935,0.2687205031843738
0.00020691380811147902,0.20250764942390348,0.07317080513596229,0.26859933263965907
0.00042813323987193956,0.2024830648366418,0.07301888581368168,0.2683670634489962
0.0008858667904100823,0.20243948818404833,0.07274886494180369,0.267953118556715
0.0018329807108324356,0.20237364633938076,0.07232622870281079,0.26730254191625774
0.00379269019073225,0.20230223135699807,0.0717716975449244,0.2664441074946348
0.007847599703514606,0.20223065031106763,0.07113250151592777,0.26544336934918994
0.01623776739188721,0.20214898850241583,0.07032838233474711,0.26414614378505
0.03359818286283781,0.2019704029164089,0.0691831204332222,0.2622132254711361
0.06951927961775606,0.20162693558774786,0.06775745598934539,0.2596869682617254
0.14384498882876628,0.20115050963415423,0.06642528690516387,0.2572093893594076
0.29763514416313164,0.2006188152967578,0.06549172236302557,0.2554024784760306
0.615848211066026,0.2000434550564231,0.06495042171073871,0.254328727906488
1.2742749857031321,0.19948724918598842,0.06467102628117707,0.2537680745843552
2.6366508987303554,0.19918568169478726,0.0646168524078594,0.25365426397121793
5.455594781168514,0.19944231179817906,0.06509749260300837,0.2545882449594126
11.288378916846883,0.20070688862054933,0.06764936010585128,0.2593189713211467
23.357214690901213,0.20308922927890097,0.07674731335865502,0.2737448681724797
48.32930238571752,0.20680048589370958,0.10005047651650592,0.30183797528859124
100.0,0.2117699762979314,0.14171773422953854,0.3391612383522233
